A,B,C,D,E
4.1,21.9,2.7,12.1,1.94
5.6,39.7,2.38,10.0,4.18
6.5,34.1,2.76,15.3,2.38
0.8,28.5,1.82,18.8,1.68
9.9,17.1,2.3,11.9,2.34
8.5,23.5,2.4,15.7,4.18
6.3,16.5,2.6,13.4,2.16
8.5,18.6,1.68,16.9,3.34
2.1,16.9,1.38,16.9,4.24
3.3,5.1,1.02,16.0,3.22
5.4,31.8,1.12,16.2,3.86
2.8,18.8,2.9,20.0,3.36
3.7,11.9,1.96,16.0,3.28
9.6,10.4,2.64,15.6,3.08
1.7,16.1,2.5,10.2,4.58
7.0,29.4,1.16,20.0,2.3
6.4,4.0,1.52,19.4,1.1
9.6,37.6,2.54,19.8,1.26
0.0,36.3,1.02,14.4,4.12
8.7,16.4,2.68,11.4,3.1
0.3,32.0,2.34,11.6,4.06
0.3,37.3,2.18,11.4,1.34
8.1,33.4,2.68,10.4,1.06
2.6,15.9,2.7,18.5,2.12
4.2,26.3,1.96,14.5,3.36
5.8,35.2,1.02,11.0,2.04
3.1,1.7,1.32,16.3,3.02
3.2,17.2,2.64,19.1,1.48
2.7,35.1,2.74,11.3,4.48
5.4,3.2,1.38,13.8,4.58
9.9,26.0,2.5,16.6,4.22
5.9,20.9,2.76,15.4,3.86
6.9,38.2,2.72,14.1,2.86
6.1,32.9,2.94,17.4,3.52
7.9,38.1,1.62,19.3,3.46
3.3,16.3,2.0,20.1,1.7
8.6,0.4,2.74,10.4,4.1
8.7,3.3,1.82,15.1,4.84
5.5,27.9,2.24,12.1,2.42
1.2,14.4,2.76,17.6,2.04
5.5,35.0,2.2,14.3,4.38
1.7,7.0,2.22,18.4,2.56
5.3,34.7,1.04,15.8,2.94
7.6,22.9,2.76,20.0,3.92
10.0,12.4,2.82,12.4,1.86
4.2,27.7,2.5,12.0,1.58
3.8,27.0,1.5,19.1,2.46
6.0,35.6,1.94,16.3,4.42
4.1,1.4,1.14,16.7,3.32
8.0,24.1,1.08,19.2,4.08
7.8,15.2,1.2,14.6,2.66
1.7,5.2,1.82,13.4,2.44
2.2,14.8,2.96,18.6,1.66
5.3,35.7,2.8,10.6,3.52
2.9,21.8,1.8,15.5,2.68
9.7,11.2,1.36,15.1,4.02
5.7,28.7,1.94,14.5,2.1
6.7,27.6,2.04,10.8,1.12
6.6,8.2,2.08,15.7,4.9
7.0,21.7,2.2,12.2,2.0
1.7,22.5,1.62,10.2,3.7
0.6,26.9,1.9,16.0,4.66
3.9,1.4,2.82,10.8,2.14
6.9,28.9,1.7,15.2,2.68
8.5,33.8,1.34,16.7,2.36
6.4,26.4,2.46,14.8,1.14
6.7,19.8,2.9,18.8,4.86
4.8,15.7,1.34,16.9,4.02
5.1,33.2,1.22,14.7,4.38
2.8,39.6,2.42,18.1,2.06
2.0,20.6,2.92,10.6,3.86
8.9,17.3,1.9,19.8,3.62
7.7,18.3,2.08,13.0,2.16
0.8,26.4,1.74,20.1,2.86
4.6,24.5,2.54,15.5,1.9
7.5,3.5,1.02,19.5,2.86
4.1,37.2,1.16,19.8,2.96
5.0,25.8,1.08,16.0,1.24
5.5,1.8,2.94,19.1,1.72
5.0,2.2,1.36,10.4,4.62
6.9,10.3,2.4,12.9,4.52
1.9,24.0,1.76,12.1,2.48
8.7,39.0,1.82,11.6,2.14
2.6,36.0,1.32,10.9,1.36
3.7,20.3,2.24,17.0,3.9
7.1,25.2,2.78,16.7,4.74
6.4,14.1,1.9,14.1,3.88
5.3,30.1,2.8,12.6,3.76
2.3,14.2,2.82,10.6,3.84
4.6,27.0,1.38,12.2,4.98
7.0,30.6,2.38,17.4,3.14
8.2,10.9,1.14,10.7,3.88
8.5,0.7,2.9,10.7,2.78
6.2,6.8,1.36,20.0,3.38
5.6,18.9,1.62,10.4,1.08
5.4,17.8,1.36,17.0,4.76
5.9,6.2,1.46,18.5,3.62
9.8,6.7,1.46,19.9,2.1
6.1,20.5,2.1,10.1,3.06
2.9,39.9,2.6,18.7,1.94
9.2,0.5,1.34,15.0,1.94
2.1,11.8,1.22,16.5,4.24
7.4,31.2,1.8,11.1,3.16
8.3,3.0,2.72,14.6,4.2
2.8,0.5,1.94,15.4,2.98
4.0,20.6,2.62,12.5,1.4
4.1,15.6,2.26,20.1,3.02
9.7,6.6,1.3,14.4,1.08
6.4,38.6,2.58,16.1,4.82
3.0,32.9,2.98,16.9,4.92
2.9,36.9,1.44,18.6,3.96
1.7,35.2,2.7,10.1,2.76
1.6,33.5,1.76,12.5,2.46
3.7,37.8,1.64,11.3,3.42
1.3,39.3,1.46,18.1,4.18
8.6,28.8,2.2,20.1,3.9
8.8,13.9,2.08,15.6,2.14
7.8,29.9,2.2,13.1,2.94
5.5,1.2,2.66,16.1,2.56
2.1,15.1,2.92,17.7,4.02
6.6,31.2,2.88,12.9,1.08
5.5,35.1,1.78,11.2,3.52
1.8,39.9,2.14,13.9,4.6
5.6,10.8,2.42,13.0,2.9
4.3,37.5,2.46,13.6,5.0
9.7,35.5,1.0,14.4,4.64
3.4,14.8,2.68,20.1,3.64
0.0,36.6,1.48,18.5,4.92
5.1,20.3,2.9,15.8,3.42
8.4,30.6,2.04,12.7,4.36
9.2,2.0,2.2,16.0,2.94
6.9,5.9,1.9,11.8,3.68
3.6,2.0,2.46,14.2,2.78
6.4,36.2,2.18,15.8,3.56
5.0,38.1,2.0,11.5,2.02
0.0,24.4,2.44,16.8,2.94
9.0,38.9,2.66,14.3,1.5
2.0,7.2,1.94,16.5,3.4
5.2,7.5,2.66,10.9,4.8
1.5,18.5,1.78,14.6,1.22
6.0,7.7,1.12,11.8,2.38
5.3,38.9,2.48,18.3,2.66
3.9,6.4,2.68,19.2,1.36
2.5,34.1,1.36,18.8,3.62
7.9,28.9,1.28,18.0,2.9
9.1,5.5,2.38,15.0,1.08
6.4,33.0,2.2,11.2,3.4
9.9,25.8,2.1,16.2,3.54
7.3,18.9,1.18,11.5,2.06
6.3,0.5,1.9,15.2,4.94
4.2,0.5,2.58,13.4,4.68
1.6,19.0,2.48,19.9,4.58
5.8,14.7,2.12,15.8,1.34
2.2,25.7,1.68,13.8,2.26
0.6,21.7,2.42,16.6,3.74
4.3,8.9,2.82,17.2,1.44
5.2,31.1,1.04,16.0,3.38
7.0,35.1,2.3,14.9,3.28
7.8,0.9,2.04,15.2,2.62
3.3,8.6,2.54,14.5,4.9
4.5,24.9,2.02,15.1,4.58
6.7,32.5,2.84,12.8,2.9
7.7,15.0,2.04,10.4,4.48
7.7,11.2,2.06,16.6,4.94
1.5,2.9,1.92,17.3,1.5
7.0,12.7,1.04,19.4,4.94
9.5,7.7,2.28,17.4,2.96
1.8,5.4,1.28,18.0,4.4
0.1,30.4,2.66,13.9,4.92
0.9,3.3,2.7,17.1,4.8
4.9,10.4,1.66,10.1,2.3
8.0,17.1,1.98,16.7,3.06
10.0,2.1,1.64,16.1,4.8
1.1,28.6,2.44,17.9,3.8
6.9,39.0,1.04,15.7,4.56
2.1,10.4,1.02,18.4,1.08
3.1,14.8,1.06,16.8,4.48
8.3,27.1,1.3,15.7,4.26
0.0,27.5,2.06,13.4,4.26
5.3,29.8,1.64,11.3,4.54
5.7,17.1,1.16,11.4,4.66
6.9,4.6,2.12,10.5,1.36
8.2,11.3,1.78,11.5,1.38
1.7,27.4,2.02,18.6,3.98
0.5,30.3,2.62,19.4,1.6
4.4,20.6,1.3,14.5,3.08
9.6,39.4,1.14,16.2,4.78
2.2,24.1,2.72,11.1,1.86
2.2,30.0,2.18,14.0,4.9
2.5,19.5,1.7,11.8,4.88
7.6,16.3,1.04,17.5,3.0
0.6,17.5,1.28,17.6,2.76
7.8,34.2,2.92,10.1,1.96
4.3,27.0,2.62,11.9,2.16
2.6,10.9,1.44,19.4,3.62
2.5,17.1,1.04,10.8,3.32
9.6,35.1,1.58,12.0,4.32
7.8,20.1,1.88,10.7,3.68
3.5,16.7,1.32,13.8,4.96
5.4,10.1,2.14,13.6,4.52
6.3,8.5,2.14,12.8,2.76
9.0,14.1,2.9,18.2,1.28
5.6,33.6,2.12,13.4,1.12
6.8,21.2,1.12,13.7,4.48
6.0,5.0,1.76,18.9,3.3
0.1,11.1,2.54,17.4,4.9
5.4,27.0,2.14,19.9,2.94
9.6,6.4,2.1,13.4,3.34
7.9,34.3,1.28,16.7,4.44
8.6,18.2,1.86,10.2,3.14
3.7,33.1,1.22,11.1,3.1
7.9,0.9,1.14,13.1,3.92
7.7,23.3,2.58,14.6,1.92
2.8,29.7,1.8,16.2,2.04
2.5,24.3,1.66,12.5,4.08
3.4,35.0,1.9,14.2,3.64
7.8,26.6,2.74,17.6,2.18
6.6,11.7,1.56,14.3,2.52
8.6,14.3,1.3,13.7,2.22
2.8,38.0,1.08,12.8,2.16
3.3,20.0,1.08,15.4,4.76
9.6,23.8,1.58,15.1,2.1
4.0,33.3,1.98,11.8,2.54
4.0,24.5,1.08,13.4,1.92
2.2,34.5,1.24,14.7,4.5
7.0,0.7,2.96,19.0,3.74
0.2,15.1,1.96,15.9,4.18
5.7,39.1,2.76,13.0,4.84
3.1,21.0,1.98,10.2,1.46
3.0,36.6,1.26,13.4,1.56
8.1,15.7,1.9,18.7,3.68
4.2,5.7,2.78,15.1,2.88
0.6,8.5,2.62,17.0,3.88
0.0,5.4,2.66,15.0,2.86
6.0,20.0,1.66,15.5,1.48
1.3,12.1,2.4,19.8,1.7
5.1,10.7,1.92,12.0,4.76
9.5,30.3,2.18,10.0,2.4
0.5,13.1,2.46,15.2,4.24
0.9,39.1,2.56,10.5,3.38
7.0,38.4,2.6,19.7,1.98
8.9,19.7,1.2,18.1,4.66
9.7,4.6,2.94,16.1,3.54
2.9,22.7,2.8,18.8,4.84
9.9,24.4,2.68,17.8,1.8
2.0,20.2,2.88,14.6,1.48
5.9,26.0,1.98,19.5,4.22
8.0,17.7,1.06,14.9,3.7
9.6,2.3,1.8,18.1,2.1
7.3,17.4,2.16,13.0,2.66
6.2,27.3,2.18,16.3,4.14
4.1,33.9,2.6,12.8,2.34
5.0,26.0,2.22,11.4,1.4
6.3,28.5,2.66,15.7,2.8
7.5,0.0,1.48,12.2,1.18
5.5,8.5,2.72,13.7,2.72
7.9,33.7,2.56,14.0,1.64
4.0,6.8,1.64,17.4,3.08
3.1,3.0,1.36,11.4,2.64
1.4,19.7,2.12,18.6,1.06
6.1,9.0,1.28,10.2,1.44
2.6,34.8,1.8,18.2,4.92
2.7,38.2,2.36,10.0,2.04
8.0,1.5,2.58,18.7,3.24
6.3,30.9,2.18,17.4,3.64
5.8,39.5,2.9,19.3,1.34
5.7,27.5,1.42,11.0,1.32
0.1,33.7,1.84,15.9,4.7
3.5,16.1,1.62,16.4,4.88
7.0,19.1,1.24,17.5,3.12
1.2,15.0,1.74,10.3,3.24
1.4,36.4,1.5,12.4,3.42
8.8,11.2,2.6,17.1,4.98
8.6,27.2,1.08,17.8,4.66
5.9,17.5,1.96,14.2,4.34
2.1,14.8,2.92,19.3,2.72
6.2,17.7,2.8,13.9,1.02
8.9,38.1,1.08,19.5,3.4
9.6,22.2,3.0,19.8,3.04
7.4,25.8,2.4,18.4,3.96
7.3,27.2,1.94,19.4,4.58
2.4,18.8,1.34,19.9,4.02
10.0,30.5,2.88,19.0,2.04
4.7,37.7,1.1,14.3,4.3
4.2,8.9,2.3,17.1,3.94
3.7,34.2,2.52,15.8,1.98
4.0,26.1,1.82,12.2,4.32
4.4,15.5,2.02,16.1,2.18
8.7,19.9,1.2,12.2,3.26
3.9,5.4,1.5,15.7,3.14
9.6,25.3,1.4,15.4,1.76
1.6,17.2,2.3,13.2,2.4
8.7,19.9,1.78,17.6,3.54
10.0,10.1,2.1,16.2,1.64
5.6,28.4,2.0,15.9,4.12
0.1,15.0,1.38,19.8,2.46
9.5,11.0,2.6,16.0,1.18
6.1,26.5,2.58,17.9,4.88
8.7,9.0,2.12,17.5,3.6
0.8,17.6,1.08,16.0,3.16
6.7,23.0,1.26,19.4,4.16
8.0,2.8,1.46,16.8,1.52
1.6,30.0,2.34,18.8,4.94
4.9,19.4,2.02,12.0,1.52
9.3,30.6,1.94,10.2,3.2
3.9,23.8,2.74,14.7,1.16
5.7,35.6,1.92,10.9,1.1
7.4,38.3,2.18,18.6,3.66
8.4,26.6,2.44,18.0,1.5
2.0,21.3,1.04,14.1,1.84
1.7,8.1,1.16,19.8,1.36
5.4,12.7,2.62,18.8,1.3
2.8,26.1,2.98,16.5,3.08
2.3,6.6,2.64,19.0,1.44
7.3,6.1,1.46,14.5,4.12
1.6,13.2,1.06,10.8,4.3
1.7,13.6,1.16,14.8,2.16
4.1,2.7,2.92,10.3,1.94
8.3,21.0,1.0,15.9,3.94
10.0,20.4,1.68,18.9,1.4
4.4,25.2,2.46,19.5,4.1
8.1,3.7,1.22,12.8,4.54
1.6,4.2,1.34,18.5,1.64
7.2,11.6,2.54,14.6,3.26
1.3,18.9,1.18,17.6,1.78
4.8,4.5,2.46,18.6,4.62
2.8,16.5,1.34,16.2,1.18
9.4,30.4,1.46,13.0,4.22
0.3,20.2,1.0,15.0,2.44
8.1,23.2,2.86,14.0,1.7
1.9,24.4,2.56,13.5,2.48
4.6,20.8,2.42,13.9,3.68
0.8,24.7,2.96,19.4,3.28
7.6,29.4,2.62,15.9,1.3
7.8,32.6,1.3,11.4,4.56
2.6,38.2,2.68,17.7,4.76
1.4,15.7,1.28,19.8,4.16
9.1,0.0,2.22,18.7,4.18
10.0,21.6,1.08,12.9,1.88
1.8,24.8,1.88,12.9,1.52
8.9,39.1,2.02,12.6,1.42
5.1,6.8,2.4,13.9,3.84
2.5,2.9,1.12,17.7,1.14
8.8,11.4,1.52,14.4,4.9
2.5,0.7,2.76,17.4,3.3
2.5,36.8,2.7,14.6,3.7
4.5,27.4,1.24,18.9,2.72
9.1,31.4,1.32,15.5,3.32
4.8,33.4,1.86,15.3,1.3
8.1,3.5,1.24,18.4,4.5
9.5,31.0,2.78,10.8,4.22
5.2,4.3,2.44,16.4,3.24
0.2,15.4,1.08,16.9,2.12
6.5,7.6,1.64,10.0,3.64
9.6,7.7,1.06,18.5,1.86
4.1,10.0,2.82,11.2,2.4
1.8,2.9,1.5,13.7,1.72
1.6,3.8,2.34,14.4,3.46
3.2,23.8,1.3,13.9,1.54
7.5,1.2,3.0,19.4,2.34
4.8,12.1,1.42,11.4,3.24
5.5,14.3,1.7,14.9,4.3
6.2,17.1,2.14,10.1,1.9
0.2,36.7,2.08,15.2,5.0
4.8,24.6,1.68,19.4,2.98
5.4,24.6,1.48,12.5,1.5
2.5,4.4,2.42,16.5,2.48
9.8,25.2,2.6,17.4,4.6
7.1,37.4,2.2,13.2,4.8
5.1,29.0,1.34,18.1,3.22
9.9,20.6,2.14,18.4,2.24
0.6,0.6,2.5,15.8,3.22
4.5,24.1,2.12,19.4,4.3
4.5,10.9,2.92,12.5,3.84
9.9,11.3,2.72,19.3,2.96
1.5,30.6,2.24,12.0,1.16
2.3,30.1,1.22,14.8,2.48
6.0,27.5,1.2,17.9,1.42
5.3,9.5,1.24,17.0,4.94
6.1,29.3,1.68,18.5,4.66
0.0,18.8,1.52,17.0,1.72
4.8,35.9,2.76,16.5,2.12
2.4,28.7,2.32,13.6,4.74
0.9,15.3,2.76,11.3,3.26
7.9,5.7,1.88,17.1,3.78
1.5,33.7,2.46,19.2,3.68
5.7,4.9,2.6,10.6,4.86
7.1,20.6,2.32,13.7,3.04
2.8,5.1,1.42,14.4,1.8
9.1,34.1,2.54,12.1,4.02
0.5,37.0,2.8,14.3,4.04
1.5,14.9,1.82,18.0,4.78
1.9,5.2,1.38,17.9,3.08
7.9,21.2,1.94,19.6,3.1
7.0,6.5,1.34,13.4,1.86
7.7,23.1,2.52,20.1,3.58
4.2,37.2,2.38,15.9,4.38
2.5,29.8,2.46,19.5,4.2
8.9,33.7,3.0,10.2,3.88
7.7,15.0,2.84,16.6,3.42
7.0,20.4,1.1,17.1,4.8
3.2,31.9,1.76,19.4,3.98
2.5,25.4,1.2,15.4,1.0
4.4,13.6,1.48,10.8,2.86
8.3,36.8,2.86,16.8,4.94
6.2,13.4,2.08,12.7,4.62
6.6,5.3,2.66,11.4,1.26
5.1,6.4,2.14,19.0,2.98
6.7,0.1,1.72,13.0,3.02
2.5,13.1,1.3,15.8,2.04
7.4,33.3,2.88,18.1,1.1
0.1,3.1,2.84,20.1,2.78
1.3,35.5,2.38,15.3,2.26
2.9,38.5,2.84,16.7,2.74
4.8,35.9,2.9,18.4,1.64
1.1,24.2,2.44,14.6,2.42
8.9,19.1,1.72,14.1,1.86
4.3,14.1,2.04,12.2,3.12
3.2,14.7,2.72,18.5,1.66
1.2,8.8,1.3,16.4,4.22
7.7,4.8,1.34,18.8,4.02
8.7,13.5,1.36,15.3,1.02
9.7,19.0,1.86,19.1,3.7
2.5,14.8,1.02,20.0,3.32
2.0,8.6,2.14,11.0,4.04
2.7,0.7,1.18,16.2,3.4
4.7,22.2,2.5,12.1,1.62
9.9,35.6,1.9,15.3,2.1
3.9,1.5,2.62,18.8,2.86
6.5,29.5,1.36,18.4,1.12
7.2,10.5,1.74,13.5,4.5
8.6,28.2,1.72,15.7,2.74
7.8,10.3,2.8,11.9,4.62
7.6,36.0,2.54,11.5,4.8
2.2,14.5,1.88,19.1,5.0
8.0,3.4,1.66,15.5,3.58
4.7,11.2,1.02,19.2,1.68
0.1,30.7,1.86,14.9,2.94
8.3,39.8,2.92,18.9,1.42
1.9,5.2,2.64,16.5,4.82
5.8,34.6,1.52,17.3,2.16
4.5,8.0,1.94,11.2,4.52
0.2,10.3,2.86,11.4,2.02
5.4,32.1,1.12,17.2,3.96
1.1,36.8,1.52,12.6,3.78
3.9,24.1,2.68,10.7,1.2
6.5,3.0,2.4,16.9,4.62
9.9,31.6,2.76,19.9,3.42
7.7,19.1,1.34,14.9,4.94
1.5,35.6,1.64,18.7,1.26
8.2,36.0,1.64,16.6,1.64
3.3,23.2,2.9,12.5,3.02
4.3,9.7,1.48,13.5,2.52
0.5,3.3,1.26,12.0,1.5
7.6,24.2,1.74,17.6,3.82
6.3,5.8,1.74,15.1,4.5
9.9,25.8,1.06,11.0,2.28
2.1,1.6,2.22,10.7,1.9
1.7,7.7,2.62,15.6,3.52
1.1,20.5,1.18,14.5,4.64
5.1,30.1,1.68,17.7,2.86
9.3,16.5,2.96,19.6,2.46
5.0,29.0,1.44,10.1,3.54
7.0,38.4,2.76,16.3,2.46
9.5,11.1,2.28,15.1,4.9
4.7,38.7,2.62,16.4,3.78
1.8,31.6,2.56,11.0,4.62
0.5,35.2,1.48,10.5,4.82
8.3,14.4,2.9,19.5,3.02
2.6,15.5,2.04,17.8,1.92
5.2,17.7,2.66,17.5,4.28
10.0,34.5,1.32,16.3,4.36
4.7,13.5,2.12,20.0,1.52
0.6,31.4,2.48,19.2,4.38
5.8,1.7,2.52,15.4,2.7
6.8,35.0,2.76,14.3,2.34
1.0,15.4,1.38,18.5,4.12
1.4,27.1,1.48,11.3,4.26
6.3,26.5,1.82,18.2,3.16
0.2,35.9,1.88,10.4,2.12
6.8,33.1,1.6,19.8,3.78
2.2,1.5,2.28,12.4,4.44
5.2,1.1,2.02,14.9,3.94
3.6,7.4,2.58,20.1,1.88
0.8,21.1,2.82,17.2,1.44
1.4,17.8,1.4,17.0,4.78
0.2,12.8,1.58,18.1,1.66
9.2,28.2,1.04,10.1,1.4
6.9,19.4,2.94,10.9,4.56
1.6,26.7,2.38,10.1,3.72
2.5,2.9,1.84,15.9,3.24
2.0,0.8,1.56,14.4,1.18
7.1,30.8,1.04,10.7,2.02
2.0,30.9,2.14,15.7,1.88
1.0,16.4,1.64,10.6,4.58
3.7,19.2,2.48,19.8,1.58
7.1,30.4,1.88,18.6,4.82
8.7,25.9,2.36,17.1,3.58
3.4,19.1,1.62,12.0,4.52
1.3,7.8,2.62,19.6,2.9
1.3,17.8,2.66,14.6,4.44
0.9,9.0,2.02,10.0,1.32
1.1,21.4,2.26,11.1,1.54
3.7,7.8,1.78,17.4,3.5
3.3,10.2,2.82,14.7,1.88
4.0,11.0,1.24,19.3,1.32
0.9,31.3,2.78,10.3,4.72
1.6,24.6,2.58,13.3,3.82
1.6,23.3,2.76,18.6,3.3
6.6,8.1,2.46,13.1,3.74
6.1,13.1,1.56,10.2,2.6
9.4,23.4,2.24,19.1,1.34
0.0,27.7,2.66,16.7,1.68
1.1,38.6,1.5,15.6,4.5
0.3,33.4,2.9,17.5,2.14
4.1,9.8,2.16,12.3,3.28
1.2,3.7,1.96,13.2,1.34
9.7,16.0,2.04,10.2,4.58
8.4,11.6,2.74,10.3,4.14
8.5,24.0,1.6,12.9,1.72
0.3,2.5,1.22,16.9,1.78
8.1,13.5,2.14,14.8,1.1
6.8,4.9,1.7,12.9,2.56
1.8,29.3,1.18,17.1,4.24
0.1,39.3,1.1,18.1,4.06
1.1,29.7,1.12,11.5,3.08
8.0,29.2,1.6,15.2,2.8
7.3,15.3,2.8,10.5,4.14
9.7,21.9,2.42,12.3,2.48
0.5,13.9,1.04,19.1,3.3
0.7,4.8,1.92,19.5,4.02
5.0,14.1,2.68,18.8,3.42
1.0,4.5,1.0,12.7,2.08
6.2,16.2,1.88,12.0,1.16
5.6,28.4,2.06,10.7,3.1
1.1,26.7,1.98,13.5,2.22
7.2,11.5,2.56,10.8,3.2
0.1,8.1,1.12,13.9,3.9
0.7,4.3,2.24,18.4,2.0
1.0,19.3,1.28,15.0,3.04
5.2,25.7,2.76,10.0,1.36
9.9,27.2,2.32,16.2,2.36
0.9,39.3,1.58,16.7,3.32
8.4,27.3,2.54,17.3,2.62
8.3,27.7,2.34,12.5,3.44
0.7,8.2,1.7,13.9,1.64
3.5,5.7,2.32,10.2,3.14
9.2,5.2,1.08,10.8,4.3
7.5,0.0,1.48,13.1,1.24
1.3,21.5,2.88,16.6,4.52
5.3,31.6,1.2,10.3,2.44
8.4,22.7,2.42,10.5,2.78
8.5,25.3,2.78,17.2,4.6
2.0,15.8,2.3,12.5,3.56
4.9,28.6,1.54,10.1,1.22
9.3,6.5,2.18,16.5,4.02
3.8,30.8,1.18,18.4,3.56
1.9,9.4,1.98,18.5,2.34
8.7,25.2,1.76,10.2,3.68
8.6,14.9,1.72,13.4,3.3
0.6,2.2,2.24,15.8,2.82
0.8,24.3,2.2,13.7,4.92
0.0,21.4,2.68,13.2,1.76
2.5,39.8,2.82,11.4,1.62
3.7,13.0,1.74,17.4,4.52
3.7,34.2,1.64,17.3,4.16
6.0,14.7,2.48,19.9,3.14
4.3,38.0,1.88,11.3,2.56
8.5,10.8,1.86,16.5,1.04
4.3,3.9,1.0,14.4,3.18
7.3,12.0,2.04,14.7,4.48
6.1,29.4,1.92,14.3,3.2
0.5,11.9,1.64,13.6,1.28
1.6,1.7,2.32,12.8,2.0
5.0,16.8,2.78,19.8,3.12
3.7,19.7,1.28,18.3,1.4
2.3,14.2,1.26,18.4,1.8
5.0,3.6,1.44,13.3,3.38
0.9,18.5,2.06,15.8,1.04
7.1,26.0,1.14,14.2,3.56
2.0,23.0,2.06,13.2,3.96
6.9,25.3,1.7,11.8,2.58
8.4,32.8,2.66,10.7,2.96
5.6,39.0,2.02,13.0,3.96
3.8,29.6,1.1,11.0,3.08
8.7,0.9,2.92,10.7,2.88
3.2,32.3,1.54,12.4,4.52
5.8,22.9,1.98,11.9,2.28
1.7,2.3,1.74,13.7,1.8
5.5,7.7,1.58,10.6,2.32
9.1,19.2,2.6,17.6,3.46
5.6,40.0,2.44,13.8,1.82
9.5,10.8,2.82,17.3,2.36
7.5,27.9,2.06,17.1,4.68
4.7,26.2,2.4,11.9,4.4
4.1,32.8,1.9,18.0,3.0
2.6,36.2,1.54,11.0,3.78
7.3,35.4,1.32,11.5,2.26
5.1,37.7,1.94,20.0,3.14
4.1,26.7,1.86,14.1,2.0
3.1,34.0,2.18,19.5,2.44
2.5,25.8,2.18,18.9,2.18
2.4,33.4,1.08,15.1,4.96
7.4,8.4,2.36,13.6,2.58
2.2,0.9,2.54,15.1,4.1
9.7,28.8,2.38,10.8,3.46
5.6,30.1,1.12,13.4,4.96
5.1,5.8,2.04,16.6,1.26
8.6,30.7,1.32,19.4,4.18
9.2,26.1,2.16,10.6,1.14
3.0,38.5,1.16,10.1,1.52
6.3,28.4,2.88,12.4,1.98
7.0,11.8,1.42,17.5,4.72
3.2,16.7,1.88,19.3,2.12
8.4,35.2,2.44,19.3,1.04
0.1,18.8,2.16,19.2,4.08
1.7,25.0,2.58,14.0,1.66
4.6,32.3,2.98,17.4,1.5
3.2,22.8,2.94,15.1,4.34
10.0,18.9,1.24,18.6,3.28
9.7,31.5,2.64,18.0,2.7
8.3,12.3,1.22,17.6,4.18
3.4,8.3,1.7,19.6,4.36
5.0,29.6,1.18,16.4,3.58
1.7,21.4,1.3,17.6,3.2
8.7,23.6,2.82,13.7,4.98
7.1,11.2,1.36,16.6,3.1
2.9,21.6,1.1,17.9,3.68
4.3,32.0,1.06,14.1,1.36
5.2,24.5,1.58,17.0,1.64
0.9,33.4,2.88,15.3,1.02
8.6,31.8,1.9,16.6,4.88
5.1,37.3,1.52,17.7,1.28
4.8,3.6,1.88,16.3,1.4
1.0,6.3,2.68,17.9,2.54
6.5,21.8,1.72,10.3,2.16
5.7,34.1,1.16,13.0,3.06
8.9,38.8,2.2,11.2,2.62
3.5,3.3,1.68,12.6,3.34
3.2,3.8,1.92,15.8,3.24
4.6,6.6,1.4,16.4,1.76
1.2,20.8,1.32,16.3,1.38
3.9,31.7,2.08,12.4,1.0
8.8,34.3,2.74,13.6,2.44
6.7,15.1,2.88,17.4,1.16
4.1,38.6,1.1,17.2,2.0
1.8,36.4,1.68,17.0,4.3
8.1,19.8,1.98,11.3,1.28
10.0,8.8,1.72,19.3,2.66
9.3,24.7,1.24,12.3,1.8
1.8,32.2,1.48,16.6,4.48
5.7,7.8,2.9,14.7,4.06
2.2,28.4,1.0,19.0,2.06
5.3,32.9,1.96,16.4,3.36
7.9,3.1,1.68,13.7,4.94
6.4,8.6,2.64,18.9,4.32
1.1,3.8,2.04,16.9,1.32
2.3,39.2,2.02,15.8,4.94
3.3,10.0,2.06,11.1,3.54
5.2,24.3,2.5,15.3,2.82
0.7,23.1,1.92,15.0,1.16
1.7,39.7,1.84,13.7,1.9
5.6,6.7,1.38,14.5,3.66
0.4,19.1,1.64,19.8,4.9
2.5,2.7,2.84,10.9,1.3
2.9,26.9,1.3,10.8,3.22
5.3,22.5,2.54,18.6,2.72
1.2,7.6,1.12,19.3,4.12
8.2,22.2,2.38,15.1,4.36
2.8,37.1,1.4,15.0,4.9
0.2,16.6,1.7,12.1,2.22
8.9,28.3,2.7,17.2,3.06
5.7,19.1,2.06,18.2,3.38
7.5,8.8,1.36,17.1,4.34
0.1,3.1,1.48,16.7,4.78
7.4,13.6,2.32,10.4,4.02
2.7,15.5,2.98,18.2,3.66
8.1,24.9,2.04,18.1,1.78
7.6,9.4,2.94,12.8,4.94
10.0,1.6,2.48,18.2,2.14
8.5,11.6,1.94,10.5,3.82
7.5,33.2,1.82,16.8,2.54
0.1,31.0,1.92,15.7,4.44
10.0,0.9,2.8,14.2,3.2
0.6,7.9,1.82,16.8,2.96
2.5,13.3,1.02,17.1,1.1
8.9,20.2,1.1,19.0,1.44
8.7,11.5,1.9,13.6,2.22
7.5,21.9,2.3,15.7,1.32
1.5,25.2,2.6,20.1,2.66
2.2,16.8,1.78,13.6,3.22
3.9,33.4,2.14,18.1,4.94
5.9,31.5,2.54,12.5,3.06
7.2,20.4,2.46,14.1,3.48
3.1,29.7,1.64,11.5,1.54
1.4,37.1,2.22,12.1,3.8
10.0,24.7,1.22,12.2,4.12
1.2,36.4,2.9,14.6,4.44
0.4,7.0,1.96,16.6,1.38
